timestamp,class,name
16:43:59:320, __InstanceDeletionEvent, svchost.exe, 21612
16:44:14:948, __InstanceCreationEvent, chrome.exe, 9064
16:44:50:338, __InstanceDeletionEvent, chrome.exe, 9064
16:45:15:288, __InstanceCreationEvent, chrome.exe, 8828
16:45:50:672, __InstanceDeletionEvent, chrome.exe, 8828
16:46:0:25, __InstanceDeletionEvent, chrome.exe, 13172
16:46:15:621, __InstanceCreationEvent, chrome.exe, 10140
16:46:15:621, __InstanceCreationEvent, chrome.exe, 11448
16:46:15:621, __InstanceCreationEvent, chrome.exe, 14896
16:46:16:657, __InstanceCreationEvent, chrome.exe, 11112
16:46:42:739, __InstanceDeletionEvent, chrome.exe, 14896
16:46:57:309, __InstanceCreationEvent, BackgroundDownload.exe, 11604
16:46:57:325, __InstanceCreationEvent, MoUsoCoreWorker.exe, 7940
16:46:58:373, __InstanceCreationEvent, UsoClient.exe, 10128
16:46:58:382, __InstanceCreationEvent, conhost.exe, 10644
16:46:58:382, __InstanceCreationEvent, taskhostw.exe, 11628
16:46:58:382, __InstanceCreationEvent, sc.exe, 11776
16:46:58:382, __InstanceCreationEvent, conhost.exe, 17256
16:46:58:382, __InstanceCreationEvent, svchost.exe, 19568
16:46:58:382, __InstanceCreationEvent, cleanmgr.exe, 22072
16:46:58:382, __InstanceCreationEvent, taskhostw.exe, 3236
16:46:58:382, __InstanceCreationEvent, rundll32.exe, 3868
16:46:58:382, __InstanceCreationEvent, svchost.exe, 8804
16:46:58:382, __InstanceCreationEvent, rundll32.exe, 9136
16:46:59:412, __InstanceCreationEvent, conhost.exe, 11736
16:46:59:412, __InstanceCreationEvent, svchost.exe, 16916
16:46:59:412, __InstanceCreationEvent, mscorsvw.exe, 17712
16:46:59:412, __InstanceCreationEvent, svchost.exe, 21076
16:46:59:412, __InstanceCreationEvent, conhost.exe, 5608
16:46:59:412, __InstanceCreationEvent, ngentask.exe, 9284
16:46:59:412, __InstanceCreationEvent, ngentask.exe, 9840
16:46:59:412, __InstanceCreationEvent, ngen.exe, 9900
16:46:59:427, __InstanceDeletionEvent, UsoClient.exe, 10128
16:46:59:427, __InstanceDeletionEvent, conhost.exe, 10644
16:46:59:427, __InstanceDeletionEvent, sc.exe, 11776
16:46:59:427, __InstanceDeletionEvent, conhost.exe, 17256
16:46:59:427, __InstanceDeletionEvent, rundll32.exe, 3868
16:46:59:427, __InstanceDeletionEvent, rundll32.exe, 9136
16:47:0:444, __InstanceCreationEvent, svchost.exe, 15120
16:47:0:444, __InstanceCreationEvent, DismHost.exe, 21880
16:47:0:460, __InstanceDeletionEvent, conhost.exe, 11736
16:47:0:460, __InstanceDeletionEvent, taskhostw.exe, 3236
16:47:0:460, __InstanceDeletionEvent, conhost.exe, 5608
16:47:0:460, __InstanceDeletionEvent, ngentask.exe, 9284
16:47:0:460, __InstanceDeletionEvent, ngentask.exe, 9840
16:47:3:576, __InstanceCreationEvent, TiWorker.exe, 2316
16:47:3:592, __InstanceCreationEvent, TrustedInstaller.exe, 4140
16:47:7:728, __InstanceDeletionEvent, DismHost.exe, 21880
16:47:7:743, __InstanceDeletionEvent, cleanmgr.exe, 22072
16:47:11:890, __InstanceDeletionEvent, chrome.exe, 10140
16:47:11:906, __InstanceDeletionEvent, chrome.exe, 9456
16:47:15:4, __InstanceDeletionEvent, svchost.exe, 14980
